Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
100-P1,0.001746,0.002298,0.002444,0.002436,0.00176,0.002495,0.001748,0.002579,0.002508,0.001582,0.001638,0.001619,0.001708,0.001635,0.001684,0.001674,0.002011,0.00176,0.001613,0.001769
100-P2,0.001736,0.002079,0.001703,0.002742,0.001909,0.001746,0.002246,0.001788,0.001818,0.00155,0.001768,0.001995,0.001799,0.001976,0.001923,0.003028,0.002515,0.001756,0.001861,0.002016
100-P3,0.00169,0.00139,0.001645,0.001345,0.005598,0.002254,0.001132,0.001636,0.001579,0.001608,0.0016,0.001836,0.001294,0.007059,0.002117,0.001665,0.001501,0.001733,0.001241,0.001783
100-P4,0.028625,0.001327,0.001205,0.00186,0.001113,0.001396,0.012787,0.002132,0.010704,0.001454,0.003617,0.00147,0.002103,0.013626,0.00204,0.001541,0.009121,0.001383,0.001524,0.001428
100-P5,0.033558,0.04518,0.001286,0.001586,0.081818,0.021337,0.001583,0.037487,0.001298,0.001252,0.160606,0.049831,0.042116,0.006144,0.001388,0.016168,0.030544,0.001153,0.00133,0.032475
100-P6,0.030054,0.116096,0.001455,0.138481,0.127803,0.002593,0.173412,0.001296,0.001047,0.066558,0.001328,0.102966,0.00666,0.040567,0.018271,0.001395,0.124184,0.028724,0.032589,0.001713
100-P7,0.065885,0.052082,0.001149,0.126801,0.011113,0.104636,0.075236,0.094199,0.149975,0.076512,0.001409,0.010866,0.085527,0.033432,0.010773,0.057664,0.072622,0.105974,0.054172,0.038959
100-P8,0.143622,0.068017,0.52049,0.068115,0.053077,0.100887,0.026919,0.02184,0.001719,0.011807,0.038537,0.001297,0.617974,0.021308,0.122755,0.063869,0.084269,0.029527,0.272709,0.046075
200-P1,0.003321,0.002971,0.00269,0.002756,0.00357,0.003729,0.002997,0.004611,0.002868,0.002851,0.002667,0.004324,0.002892,0.002978,0.003075,0.002675,0.003029,0.004971,0.003021,0.002732
200-P2,0.001859,0.001906,0.002099,0.001841,0.118622,0.002807,0.001996,0.00199,0.002698,0.002083,0.002149,0.001901,0.002143,0.002067,0.002418,0.001967,0.002304,0.002696,0.00326,0.002207
200-P3,0.035252,0.002395,0.002103,0.002282,0.065129,0.002313,0.30398,0.231737,0.002228,0.121738,0.001895,0.296171,0.103157,0.305289,0.097461,0.002096,0.002126,0.191838,0.002473,0.444935
200-P4,0.533852,0.018672,0.579203,0.266842,0.061799,0.002215,0.693062,1.36428,0.020313,0.025775,0.654773,0.06251,0.329489,0.433415,0.126825,0.234109,0.23936,1.69263,0.061502,0.343923
200-P5,0.097321,0.220188,0.123628,0.295102,0.19752,0.200003,0.882583,0.824112,0.16754,0.475704,0.069136,0.11232,0.093094,0.206177,0.108705,0.135872,0.247742,0.595532,1.22549,0.358016
200-P6,1.55863,0.733829,1.22089,0.277566,0.439179,0.60958,0.340851,0.324456,0.290204,0.256171,0.164663,0.535543,0.472793,0.281112,0.588632,0.166961,1.38763,1.13316,0.089189,1.74546
25-P1,0.000915,0.001428,0.001344,0.001377,0.001326,0.001321,0.001364,0.001387,0.001192,0.001088,0.001101,0.00118,0.001296,0.001124,0.001112,0.001034,0.001339,0.001127,0.001273,0.001292
25-P10,0.001334,0.000681,0.000786,0.000891,0.00111,0.000981,0.002964,0.00071,0.000869,0.00078,0.001708,0.001115,0.000761,0.000915,0.000845,0.001099,0.005927,0.000995,0.00091,0.00124
25-P11,0.003958,0.000959,0.005754,0.000674,0.001033,0.001021,0.000791,0.000794,0.004692,0.000721,0.001247,0.000816,0.001488,0.000911,0.002583,0.002547,0.000796,0.001138,0.002645,0.0027
25-P12,0.001238,0.002575,0.00072,0.00436,0.000858,0.000587,0.000809,0.00082,0.000628,0.00068,0.001087,0.002867,0.013415,0.000969,0.000786,0.005068,0.001515,0.000906,0.005097,0.00291
25-P13,0.005014,0.002798,0.000672,0.000566,0.000733,0.001157,0.020678,0.010203,0.000601,0.000583,0.001305,0.009039,0.000771,0.000828,0.000633,0.002566,0.000827,0.000774,0.000634,0.00572
25-P14,0.001399,0.002949,0.000551,0.001755,0.007407,0.000604,0.00282,0.009865,0.000925,0.004314,0.004581,0.007743,0.006503,0.002766,0.013826,0.000807,0.001569,0.007407,0.007039,0.000809
25-P2,0.000934,0.00112,0.000987,0.001251,0.001211,0.001429,0.001145,0.001128,0.001009,0.001016,0.00124,0.001119,0.001092,0.0015,0.001155,0.001261,0.001276,0.001408,0.001416,0.000954
25-P3,0.001416,0.001442,0.001322,0.00125,0.001172,0.001107,0.001371,0.001382,0.001461,0.001368,0.001386,0.001464,0.001118,0.00144,0.00128,0.000948,0.001409,0.001429,0.001435,0.001312
25-P4,0.001036,0.000982,0.001116,0.00108,0.001185,0.001277,0.001469,0.001404,0.001163,0.001024,0.001033,0.001238,0.001126,0.001029,0.000985,0.000986,0.00148,0.001445,0.001347,0.001222
25-P5,0.001025,0.000888,0.001406,0.001178,0.001045,0.001271,0.001139,0.001361,0.00132,0.001271,0.001078,0.001327,0.001016,0.001218,0.001182,0.001029,0.001265,0.001454,0.001454,0.00123
300-P1,0.003446,0.005266,0.004632,0.00469,0.003421,0.004216,0.004989,0.0044,0.004873,0.004985,0.00379,0.004294,0.005502,0.004574,0.004243,0.003517,0.004255,0.00327,0.003303,0.005231
300-P2,0.115159,0.072795,0.002108,0.003785,0.002816,0.042071,0.050197,0.075999,0.57381,0.002505,0.144008,0.002669,0.003496,0.035895,0.052583,0.00279,0.106994,0.220413,0.002654,0.002756
300-P3,0.27401,0.594554,0.024857,0.449836,0.767289,0.846801,0.897547,0.137633,0.468044,0.76843,1.15079,0.54725,1.37372,0.004146,0.968362,2.42212,0.26043,3.71621,0.527516,2.4296
300-P30,2.51288,3.19479,3.51171,10.8489,3.6855,66.5957,4.19266,10.3125,2.75464,0.716305,15.76,2.66129,8.92672,0.885959,4.60783,1.71023,2.01265,10.1733,21.0065,6.25657
300-P4,0.166342,0.21055,0.70781,0.811146,0.434443,0.919966,6.16636,3.23998,7.14074,0.350446,1.94932,1.19915,0.652347,1.15776,1.19405,3.65129,1.78894,1.16195,3.20409,4.01031
300-P40,14.0137,26.1666,0.510506,10.0841,1.25672,1.78475,3.14836,0.735419,22.6449,4.16261,1.08726,1.0233,1.03549,2.67596,17.0677,0.740129,9.44726,17.4258,8.80599,7.72405
300-P5,0.130591,0.333032,2.79684,1.27063,0.873133,1.32584,1.33899,0.969379,0.236108,0.535608,1.91018,0.607242,1.06835,1.26439,0.593776,0.548712,0.241864,0.270561,3.75628,1.41985
300-P50,12.2956,6.66361,21.0859,24.3167,2.12819,20.1202,1.78665,18.7145,5.75096,4.00608,3.16593,6.1547,2.08561,24.0415,7.47115,5.26672,7.56451,6.86805,0.501768,1.70937
300-P6,0.803108,2.95308,0.910412,4.46059,1.74466,1.25362,0.449706,0.599879,0.258721,2.90402,1.49332,0.653498,0.345894,3.87074,0.975345,1.27004,1.6161,0.930168,0.084628,1.42802
300-P60,7.85484,2.54583,39.1059,21.0231,1.81646,6.67432,39.338,9.44403,2.64418,4.77963,7.45082,26.9535,27.0389,1.17071,5.39748,2.26278,3.2064,9.38288,4.7302,28.2366
300-P70,13.6643,15.0268,19.5762,18.9325,4.40749,12.0806,1.00008,1.04934,2.79653,19.2008,1.39603,31.0416,12.0914,5.59744,2.3245,20.0051,8.00699,6.50185,0.61384,13.6422
300-P80,3.75945,7.40537,7.71293,9.37634,18.2136,40.1771,2.90271,7.04981,15.6708,10.466,8.80443,7.64195,58.2037,2.02365,14.783,12.5194,5.92581,5.61426,96.2789,26.1259
400-P1,0.003674,0.005778,0.005402,0.004552,0.005712,0.006359,0.005735,0.003726,0.004988,0.003279,0.006327,0.003997,0.003395,0.004027,0.003679,0.004951,0.003422,0.003241,0.003607,0.003188
400-P2,0.650241,0.121789,0.003767,0.356097,0.997596,1.23571,0.586964,0.003249,0.085046,1.96084,2.80042,1.2856,0.802516,1.15309,0.147077,0.233483,0.317215,0.765508,1.01142,3.39822
400-P3,1.71568,1.50625,2.88914,3.62138,2.36202,2.58979,5.20769,4.12881,1.87851,5.29025,0.690277,1.82357,3.01201,0.649404,1.45207,1.57437,4.00867,0.355186,0.878828,0.914216
400-P30,14.4219,11.852,42.4907,11.5732,47.1249,6.23423,4.59534,2.95802,24.9477,36.0066,2.60417,45.9447,14.8001,3.2929,3.74068,7.11496,66.3204,2.71759,19.8666,34.2094
400-P4,6.59436,2.83266,4.33001,3.3271,2.46889,0.969458,1.05386,1.26065,1.76693,2.52902,3.94715,4.74557,0.808811,1.00475,2.52092,1.91153,1.01435,1.30173,2.42184,3.11566
