Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
100-P1,0.01413,0.003331,0.002805,0.002619,0.002973,0.002968,0.002584,0.003039,0.004971,0.002576,0.004017,0.002606,0.003992,0.003242,0.003723,0.003125,0.003275,0.003178,0.002832,0.00264
100-P2,0.004872,0.003596,0.003679,0.003606,0.003742,0.003236,0.003259,0.006948,0.003072,0.003478,0.003504,0.004959,0.003679,0.003553,0.003972,0.003304,0.0035,0.003544,0.003691,0.003598
100-P3,0.003731,0.00882,0.008206,0.00979,0.005256,0.007712,0.00537,0.004321,0.009145,0.005194,0.003718,0.003807,0.003934,0.015169,0.008949,0.006316,0.004133,0.015435,0.009107,0.00666
100-P4,0.011958,0.027391,0.006582,0.031017,0.010211,0.008563,0.004358,0.036939,0.004242,0.012565,0.024115,0.007508,0.006221,0.010365,0.007,0.004548,0.018618,0.00433,0.018989,0.060839
100-P5,0.023855,0.034359,0.087887,0.047494,0.090931,0.007005,0.020563,0.037316,0.022566,0.021966,0.041688,0.00582,0.008502,0.005982,0.008261,0.005301,0.005513,0.067506,0.06023,0.030566
100-P6,0.16008,0.185693,0.007578,0.146084,0.044031,0.06988,0.086403,0.022885,0.072981,0.114584,0.049878,0.021971,0.015996,0.04153,0.013227,0.022553,0.013828,0.065867,0.040263,0.02089
200-P1,0.005977,0.005712,0.006039,0.005882,0.00654,0.006126,0.005833,0.009691,0.006014,0.011969,0.018978,0.006603,0.011894,0.010879,0.007641,0.006278,0.005333,0.006545,0.006124,0.006478
200-P2,0.008179,0.011405,0.035317,0.057382,0.010723,0.032301,0.025311,0.016325,0.015112,0.011739,0.008396,0.015909,0.012654,0.008299,0.022773,0.010565,0.019288,0.055558,0.010627,0.011505
200-P3,0.049834,0.009479,0.223797,0.030666,0.111273,0.031355,0.067573,0.305565,0.105307,0.049747,0.228397,0.179516,0.063827,0.242297,0.059988,0.101364,0.020296,0.690921,0.043561,0.033018
200-P4,0.076034,0.023409,0.57437,0.230211,0.139303,0.095823,0.200223,0.435061,0.082574,0.608116,0.026498,0.122229,0.214163,0.176107,0.279847,0.319673,2.02188,0.298475,0.194174,0.954303
200-P5,0.076136,0.063021,0.171049,0.169283,0.404073,0.174052,0.191849,0.076208,0.097531,0.198981,0.165823,0.47152,0.512564,0.347336,0.302709,0.495308,0.206052,0.185234,0.262168,0.195677
200-P6,0.769744,0.381468,0.36474,0.358504,0.066263,0.135833,0.830161,0.227879,0.224061,0.57525,1.78932,0.040401,0.205904,0.156374,0.321871,0.504115,0.428428,0.893485,0.42444,0.616743
25-P1,0.006322,0.001711,0.001375,0.001832,0.001731,0.001467,0.002113,0.001735,0.002088,0.001829,0.002265,0.001347,0.001633,0.001764,0.002288,0.001423,0.001342,0.001463,0.001988,0.000689
25-P10,0.005341,0.001836,0.001943,0.002167,0.001708,0.001835,0.002197,0.002202,0.002546,0.00223,0.00528,0.005818,0.001842,0.002158,0.001884,0.002183,0.002755,0.004939,0.002553,0.003267
25-P11,0.005588,0.001886,0.004828,0.001898,0.001868,0.003989,0.003816,0.001775,0.008167,0.002187,0.002899,0.002014,0.001974,0.003,0.002041,0.001995,0.003782,0.002331,0.003563,0.002354
25-P12,0.002713,0.002213,0.002063,0.003095,0.00203,0.004011,0.002569,0.004781,0.002192,0.002043,0.003495,0.005419,0.00768,0.003132,0.002316,0.006664,0.002688,0.008113,0.002854,0.004014
25-P13,0.006441,0.002464,0.001877,0.004869,0.004066,0.002176,0.006759,0.005032,0.004836,0.004473,0.006383,0.003961,0.001969,0.002437,0.002247,0.00205,0.003772,0.003857,0.002346,0.002089
25-P14,0.003137,0.001964,0.001919,0.004335,0.003667,0.005397,0.00289,0.006634,0.00191,0.00488,0.005905,0.00268,0.002615,0.003147,0.003825,0.004402,0.004698,0.003008,0.012097,0.002036
25-P2,0.002274,0.001832,0.001633,0.001738,0.001607,0.002173,0.002194,0.001871,0.002126,0.002438,0.002298,0.0016,0.001682,0.002566,0.001487,0.001951,0.002328,0.002261,0.002282,0.001617
25-P3,0.002436,0.001799,0.001914,0.001755,0.001756,0.002411,0.002312,0.002032,0.002517,0.001647,0.002318,0.001997,0.001909,0.002459,0.001666,0.001281,0.00214,0.004232,0.002567,0.002578
25-P4,0.002453,0.001967,0.002074,0.001897,0.001862,0.002516,0.00229,0.002575,0.002247,0.002556,0.002453,0.00155,0.001776,0.002472,0.002699,0.002381,0.002488,0.002365,0.002144,0.002314
25-P5,0.002565,0.001731,0.002734,0.002056,0.001766,0.002495,0.002491,0.001981,0.002507,0.002932,0.002371,0.001845,0.002836,0.002203,0.002057,0.002568,0.003842,0.002156,0.002307,0.002093
300-P1,0.04455,0.012626,0.011997,0.012246,0.05055,0.013312,0.028852,0.027809,0.01858,0.024787,0.011646,0.037885,0.017045,0.022261,0.01227,0.011826,0.011935,0.014003,0.011958,0.022936
300-P2,0.023882,0.14465,0.579227,0.387372,0.211195,0.169927,0.04074,0.089296,0.068914,0.053757,0.08388,0.014204,0.451861,0.486529,0.276422,0.565248,0.117426,0.058269,0.02331,0.046564
300-P3,0.626165,0.674047,0.094043,0.421775,1.2518,0.381718,0.406705,0.357509,0.127145,1.10192,2.13325,0.30149,0.848953,0.202083,0.57849,0.487867,0.289005,0.174563,0.423058,1.02356
300-P30,0.696456,7.12687,3.60542,7.10237,17.1965,35.9206,14.5472,4.64281,3.41052,1.30261,4.00556,4.55259,5.6322,9.17861,16.253,9.52563,43.3887,2.37547,0.47128,0.640574
300-P4,0.645931,0.924742,0.320803,0.750722,1.12187,0.437666,1.014,1.10234,0.774006,0.300874,1.08806,2.67103,0.382803,0.758052,1.6482,0.457016,0.494759,0.359148,0.492378,3.37513
300-P40,8.08016,3.70164,1.81212,1.49932,1.39015,1.5607,1.82101,3.16518,13.1839,8.54568,3.49584,1.09658,2.24952,1.77506,11.7311,2.84363,3.04596,10.3416,2.06883,13.5048
300-P5,0.5819,0.521428,1.16365,0.229178,0.181704,0.292401,0.939013,0.429976,4.58397,2.16501,0.741032,0.429064,1.29947,0.544771,0.088048,1.23744,1.86086,0.905744,0.481395,3.18234
